iter	Passed	Remaining
343	1016	1939
344	1020	1937
345	1023	1934
346	1026	1932
347	1029	1928
348	1032	1925
349	1034	1922
350	1037	1918
351	1040	1915
352	1043	1912
353	1045	1908
354	1048	1905
355	1051	1902
356	1054	1899
357	1057	1895
358	1059	1892
359	1062	1889
360	1065	1885
361	1068	1882
362	1071	1879
363	1074	1876
364	1077	1873
365	1080	1871
366	1083	1869
367	1086	1865
368	1089	1862
369	1091	1858
370	1094	1856
371	1097	1852
372	1100	1849
373	1102	1846
374	1105	1842
375	1108	1839
376	1110	1835
377	1112	1831
378	1114	1826
379	1117	1822
380	1119	1818
381	1121	1814
382	1124	1811
383	1126	1807
384	1129	1803
385	1131	1800
386	1134	1796
387	1136	1792
388	1138	1788
389	1141	1785
390	1143	1781
391	1146	1777
392	1148	1773
393	1150	1769
394	1152	1765
395	1155	1761
396	1157	1757
397	1159	1753
398	1161	1749
399	1164	1746
400	1166	1742
401	1168	1738
402	1171	1735
403	1173	1731
404	1176	1727
405	1178	1724
406	1180	1720
407	1183	1716
408	1185	1713
409	1188	1709
410	1190	1706
411	1193	1703
412	1196	1700
413	1198	1696
414	1201	1693
415	1204	1690
416	1206	1687
417	1209	1684
418	1212	1681
419	1215	1678
420	1218	1675
421	1220	1672
422	1223	1668
423	1225	1665
424	1228	1662
425	1231	1658
426	1233	1655
427	1235	1651
428	1238	1647
429	1240	1644
430	1243	1641
431	1245	1637
432	1248	1634
433	1250	1630
434	1252	1626
435	1254	1623
436	1256	1619
437	1259	1615
438	1261	1612
439	1264	1609
440	1266	1605
441	1268	1601
442	1271	1598
443	1273	1595
444	1276	1591
445	1278	1588
446	1281	1585
447	1285	1584
448	1289	1582
449	1293	1580
450	1296	1577
451	1299	1575
452	1301	1572
453	1304	1569
454	1308	1566
455	1311	1564
456	1313	1561
457	1316	1558
458	1320	1556
459	1323	1553
460	1326	1550
461	1329	1548
462	1332	1546
463	1336	1543
464	1339	1540
465	1341	1537
466	1345	1535
467	1348	1532
468	1353	1531
469	1356	1529
470	1359	1526
471	1362	1524
472	1366	1522
473	1369	1519
474	1373	1517
475	1376	1515
476	1380	1513
477	1383	1511
478	1387	1508
479	1390	1506
480	1394	1504
481	1397	1502
482	1401	1499
483	1405	1498
484	1409	1496
485	1412	1493
486	1416	1491
487	1419	1489
488	1423	1487
489	1427	1485
490	1430	1483
491	1434	1481
492	1438	1479
493	1444	1479
494	1448	1477
495	1451	1475
496	1455	1472
497	1459	1470
498	1462	1468
499	1467	1467
500	1470	1464
501	1473	1462
502	1477	1459
503	1480	1457
504	1484	1455
505	1487	1452
506	1491	1449
507	1495	1448
508	1499	1446
509	1502	1443
510	1505	1440
511	1508	1438
512	1512	1435
513	1515	1433
514	1519	1430
515	1522	1428
516	1526	1425
517	1530	1423
518	1533	1421
519	1537	1419
520	1541	1417
521	1545	1415
522	1549	1413
523	1553	1410
524	1556	1408
525	1560	1406
526	1564	1403
527	1567	1401
528	1571	1399
529	1575	1396
530	1578	1394
531	1581	1391
532	1584	1388
533	1588	1386
534	1592	1383
535	1595	1380
536	1598	1378
537	1601	1375
538	1604	1372
539	1608	1369
540	1611	1367
541	1616	1365
542	1622	1365
543	1626	1363
544	1631	1361
545	1634	1359
546	1638	1357
547	1641	1354
548	1645	1351
549	1649	1349
550	1652	1346
551	1655	1343
552	1658	1340
553	1662	1338
554	1666	1336
555	1669	1333
556	1674	1331
557	1678	1329
558	1682	1327
559	1685	1324
560	1689	1321
561	1692	1319
562	1695	1316
563	1699	1313
564	1702	1310
565	1706	1308
566	1710	1306
567	1714	1303
568	1717	1300
569	1720	1298
570	1724	1295
571	1727	1292
572	1731	1290
573	1735	1287
574	1738	1285
575	1742	1282
576	1745	1279
577	1749	1277
578	1753	1274
579	1757	1272
580	1762	1270
581	1765	1267
582	1769	1265
583	1773	1263
584	1777	1260
585	1780	1257
586	1783	1254
587	1786	1251
588	1789	1248
