iter	RMSE
0	168.4243804
1	160.9861598
2	154.0900834
3	147.513732
4	141.1762458
5	135.1452425
6	129.2045601
7	123.8033342
8	118.6755927
9	114.2822136
10	109.4558531
11	104.883285
12	100.285425
13	95.99035863
14	91.95876947
15	88.00900732
16	84.22073788
17	80.79353257
18	77.31276782
19	74.23075779
20	71.06728209
21	68.55931481
22	65.85418501
23	63.20013139
24	60.60670403
25	58.21449811
26	56.00942358
27	53.86505041
28	51.72051801
29	49.71336944
30	47.65256074
31	45.70016001
32	43.83925579
33	42.02526769
34	40.51985781
35	38.90967153
36	37.42314099
37	35.97466376
38	34.54537242
39	33.21287539
40	31.96990521
41	30.78374366
42	29.62953185
43	28.53911315
44	27.53063367
45	26.60508747
46	25.68872595
47	24.77210235
48	23.918833
49	23.08991499
50	22.36684954
51	21.6264433
52	20.94697528
53	20.237521
54	19.5768643
55	18.97301319
56	18.35606983
57	17.83016839
58	17.31271787
59	16.76439878
60	16.2774676
61	15.80856655
62	15.34299396
63	14.92039755
64	14.50017827
65	14.13734481
66	13.75612535
67	13.3826073
68	13.03209916
69	12.71980927
70	12.40339739
71	12.12522667
72	11.83425494
73	11.55199752
74	11.27984422
75	11.03113648
76	10.80320256
77	10.56364079
78	10.34280582
79	10.13413885
80	9.960078794
81	9.776574823
82	9.602350142
83	9.442833934
84	9.285982528
85	9.148328056
86	9.001724278
87	8.856820792
88	8.737119382
89	8.615319159
90	8.484868464
91	8.373199712
92	8.262684958
93	8.13962787
94	8.030773016
95	7.922398611
96	7.831874857
97	7.740930211
98	7.643128175
99	7.557525678
100	7.472135222
101	7.394472553
102	7.319713895
103	7.234253779
104	7.161760263
105	7.081389445
106	7.025164634
107	6.959318964
108	6.892479828
109	6.832570011
110	6.777342059
111	6.713442582
112	6.647780515
113	6.588040559
114	6.546035559
115	6.490225857
116	6.427411231
117	6.384983249
118	6.337456718
119	6.289922058
120	6.24067362
121	6.190302329
122	6.157098909
123	6.120194664
124	6.079757173
125	6.042725558
126	6.000279219
127	5.956727764
128	5.917146491
129	5.881018458
130	5.852723432
131	5.813404961
132	5.777422633
133	5.742805691
134	5.711359081
135	5.682709933
136	5.639559311
137	5.610594566
138	5.57640511
139	5.545862147
140	5.521723982
141	5.501974021
142	5.468363554
143	5.441240375
144	5.416557362
145	5.396725816
146	5.374477867
147	5.342645742
148	5.319555194
149	5.304928335
150	5.264472372
151	5.242580758
152	5.208846902
153	5.174221713
154	5.143455683
155	5.101962616
156	5.080607565
157	5.063635134
158	5.039328009
159	5.005714843
160	4.985689457
161	4.957244873
162	4.920310038
163	4.90083177
164	4.878286645
165	4.871147318
166	4.848780052
167	4.841037248
168	4.818464846
169	4.812167246
170	4.787142144
171	4.752704284
172	4.733377441
173	4.721894719
174	4.709488477
175	4.684505197
176	4.644971324
177	4.62072836
178	4.615252379
179	4.594479929
180	4.565342233
181	4.560190472
182	4.537079046
183	4.511596971
184	4.470678262
185	4.443776352
186	4.424309041
187	4.401597271
188	4.376120113
189	4.355717291
190	4.342593519
191	4.314238703
192	4.28879863
193	4.253459676
194	4.225597327
195	4.197326267
196	4.191753383
197	4.186109207
198	4.155970734
199	4.138447982
200	4.112023622
201	4.085357577
202	4.079867492
203	4.062706009
204	4.04476696
205	4.026250822
206	4.00182495
207	3.99105826
208	3.975302284
209	3.958342031
210	3.934400576
211	3.9104677
212	3.894745695
213	3.8834511
214	3.863511716
215	3.852950659
216	3.831363353
217	3.811069748
218	3.800995722
219	3.792667638
220	3.783121627
221	3.770793458
222	3.766818398
223	3.74428763
224	3.725042899
225	3.707379587
226	3.678043413
227	3.665263116
228	3.643036946
229	3.619962273
230	3.613103739
231	3.59913989
232	3.580885387
233	3.561067051
234	3.555721265
235	3.543869676
236	3.530083884
237	3.525076461
238	3.502859704
239	3.487731528
240	3.473547554
241	3.457154945
242	3.453889042
243	3.436143629
244	3.430702943
245	3.413082161
246	3.401701414
247	3.385997275
248	3.371941719
249	3.369518815
250	3.360084448
251	3.353277053
252	3.337226117
253	3.319517203
254	3.299926746
255	3.293966898
256	3.280966203
257	3.264221647
258	3.256690196
259	3.241358693
260	3.231648209
261	3.227880167
262	3.215987238
263	3.206318328
264	3.193703276
265	3.181376443
266	3.172822273
267	3.156472821
268	3.146359024
269	3.130038513
270	3.120247455
271	3.114528798
272	3.101206376
273	3.08551444
274	3.077725941
275	3.069395879
276	3.061240527
277	3.055607064
278	3.046860531
279	3.039251935
280	3.031752439
281	3.017720116
282	3.003204237
283	2.992804721
284	2.979511955
285	2.9703805
286	2.963281856
287	2.95842346
288	2.946476185
289	2.928348471
290	2.919191516
291	2.901468232
292	2.894755752
293	2.881421697
294	2.8723332
295	2.859467056
296	2.853216206
297	2.850234831
298	2.84179238
299	2.83735715
300	2.830831774
301	2.825683712
302	2.81541858
303	2.801201463
304	2.794961279
305	2.791178176
306	2.783618348
307	2.776359272
308	2.760975491
309	2.749940647
310	2.746930453
311	2.742768173
312	2.733633192
313	2.719261099
314	2.715053046
315	2.7101187
316	2.698707601
317	2.695208771
318	2.689827193
319	2.687393271
320	2.677060148
321	2.671832315
322	2.65961045
323	2.650484247
324	2.640217067
325	2.638036085
326	2.633406354
327	2.626454699
328	2.613760789
329	2.608358528
330	2.594267116
331	2.586910548
332	2.580491667
333	2.567145785
334	2.565348319
335	2.559336546
336	2.551368188
337	2.546994019
338	2.539848075
339	2.530883537
340	2.524241351
341	2.512200815
342	2.504432969
343	2.497396395
344	2.488802595
345	2.486843594
346	2.484224182
347	2.472872844
348	2.468000509
349	2.459637314
350	2.451468485
351	2.444819249
352	2.443637799
353	2.43483595
354	2.433552971
355	2.425665364
356	2.418973573
357	2.412236488
358	2.411295944
359	2.401485556
360	2.395675062
361	2.389248398
362	2.384573679
363	2.371490026
364	2.370273199
365	2.361689568
366	2.35782639
367	2.348098458
368	2.339537434
369	2.334599396
370	2.325763341
371	2.321659285
372	2.320065664
373	2.312751605
374	2.303627324
375	2.294813928
376	2.289452695
377	2.288384029
378	2.286891811
379	2.276300624
380	2.269973348
381	2.268260955
382	2.25998458
383	2.252878115
384	2.245932791
385	2.241652416
386	2.235216716
387	2.222889908
388	2.216911054
389	2.21204128
390	2.206912078
391	2.201327134
392	2.191956612
393	2.185980335
394	2.179705269
395	2.17389858
396	2.166789872
397	2.159917021
398	2.152744506
399	2.149828941
400	2.137281489
401	2.131888883
402	2.125863665
403	2.119312474
404	2.112094343
405	2.108730435
406	2.09619689
407	2.085249635
408	2.076136095
409	2.070371179
410	2.06306526
411	2.060490216
412	2.055806708
413	2.049461256
414	2.042868653
415	2.041609246
416	2.036238187
417	2.033029577
418	2.029541858
419	2.024568356
420	2.018398004
421	2.01485265
422	2.011331323
423	2.006517632
424	2.005468601
425	1.99799348
426	1.995649455
427	1.992988069
428	1.990972067
429	1.981889744
430	1.970991241
431	1.962846653
432	1.955045091
433	1.947350681
434	1.9416753
435	1.937629067
436	1.934218772
437	1.930018782
438	1.926792137
439	1.919220589
440	1.915799817
441	1.908199358
442	1.902729414
443	1.899938356
444	1.896987804
445	1.88982353
446	1.884780842
447	1.879929036
448	1.876652984
449	1.871335576
450	1.862426317
451	1.856875605
452	1.851546979
453	1.849193846
454	1.848339821
455	1.841743537
456	1.835029947
457	1.834079998
458	1.830957965
459	1.82468682
460	1.816885893
461	1.814627684
462	1.810556389
463	1.80479479
464	1.797535489
465	1.796765389
466	1.791518963
467	1.789335896
468	1.788922195
469	1.782171004
470	1.776186188
471	1.771168231
472	1.766114859
473	1.759325828
474	1.754201669
475	1.749066254
476	1.744744257
477	1.742907591
478	1.737097347
479	1.732005836
480	1.730902926
481	1.727970711
482	1.722752788
483	1.718156841
484	1.714758178
485	1.710490017
486	1.708777899
487	1.703612791
488	1.698073227
489	1.692913868
490	1.686197858
491	1.682891774
492	1.681109606
493	1.67697225
494	1.674648482
495	1.670923842
496	1.670212029
497	1.667065172
498	1.665634967
499	1.66121704
500	1.659741291
501	1.65508536
502	1.653028533
503	1.648515556
504	1.644537107
505	1.641418412
506	1.637623963
507	1.636877972
508	1.635945517
509	1.634183541
510	1.630920657
511	1.630440047
512	1.627014998
513	1.622477507
514	1.622041263
515	1.614831845
516	1.611074414
517	1.607136409
518	1.60161705
519	1.595844743
520	1.590522272
521	1.589351001
522	1.585410044
523	1.583079393
524	1.582044589
525	1.574160037
526	1.570351728
527	1.564360681
528	1.561582702
529	1.558427392
530	1.55587222
531	1.555206351
532	1.55278445
533	1.547766387
534	1.545034348
535	1.540975621
536	1.537171371
537	1.532322588
538	1.526513451
539	1.521057411
540	1.517299407
541	1.514286169
542	1.511028893
543	1.50700032
544	1.502453385
545	1.499120187
546	1.4967439
547	1.493763692
548	1.489237813
549	1.485798092
550	1.484292701
551	1.483973328
552	1.481393578
553	1.478237152
554	1.474623718
555	1.469618832
556	1.464736601
557	1.461585561
558	1.459323912
559	1.458085303
560	1.45498938
561	1.451243288
562	1.450658208
563	1.446824825
564	1.44599305
565	1.443947679
566	1.440835411
567	1.438018435
568	1.437613478
569	1.437355928
570	1.433451528
571	1.42921392
572	1.428364335
573	1.425948874
574	1.42397678
575	1.423524008
576	1.419723568
577	1.419395487
578	1.41641165
579	1.413586015
580	1.410801878
581	1.409963766
582	1.407049916
583	1.406751322
584	1.40297958
585	1.400030946
586	1.393278489
587	1.391172257
588	1.389447564
