Symbol,Stock Name,Sector,Exchange,Market Cap,PE,Stock URL
CENTURYPLY,Century Plyboards(I),Agriculture,NSE,"16,492",88.99,https://zerodha.com/markets/stocks/NSE/CENTURYPLY/
BBTC,Bombay Burmah Trdg.,Agriculture,NSE,"13,680",12.19,https://zerodha.com/markets/stocks/NSE/BBTC/
JKPAPER,JK Paper,Agriculture,NSE,"6,852",16.72,https://zerodha.com/markets/stocks/NSE/JKPAPER/
KSCL,Kaveri Seed,Agriculture,NSE,"6,223",22.12,https://zerodha.com/markets/stocks/NSE/KSCL/
GREENPLY,Greenply Industries,Agriculture,NSE,"3,793",41.4,https://zerodha.com/markets/stocks/NSE/GREENPLY/
WSTCSTPAPR,West Coast Paper,Agriculture,NSE,"3,678",11.82,https://zerodha.com/markets/stocks/NSE/WSTCSTPAPR/
GREENPANEL,Greenpanel Inds.,Agriculture,NSE,"3,539",24.8,https://zerodha.com/markets/stocks/NSE/GREENPANEL/
BGPL,String Metaverse,Agriculture,BSE,"2,947",84.01,https://zerodha.com/markets/stocks/BSE/BGPL/
JUBLCPL,Jubilant Agri & Con.,Agriculture,NSE,"2,577",29.05,https://zerodha.com/markets/stocks/NSE/JUBLCPL/
VENKEYS,Venkys India,Agriculture,NSE,"2,263",19.4,https://zerodha.com/markets/stocks/NSE/VENKEYS/
SESHAPAPER,Seshasayee Paper,Agriculture,NSE,"1,902",17.43,https://zerodha.com/markets/stocks/NSE/SESHAPAPER/
ANDHRAPAP,Andhra Paper,Agriculture,NSE,"1,664",18.72,https://zerodha.com/markets/stocks/NSE/ANDHRAPAP/
BSHSL,Bombay Super Hybrid,Agriculture,NSE,"1,478",55.99,https://zerodha.com/markets/stocks/NSE/BSHSL/
TNPL,TN Newsprints,Agriculture,NSE,"1,230",329.82,https://zerodha.com/markets/stocks/NSE/TNPL/
PDMJEPAPER,Pudumjee Paper,Agriculture,NSE,"1,211",12.65,https://zerodha.com/markets/stocks/NSE/PDMJEPAPER/
ORIRAIL,Oriental Rail Infra,Agriculture,BSE,"1,165",39.87,https://zerodha.com/markets/stocks/BSE/ORIRAIL/
KUANTUM,Kuantum Papers,Agriculture,NSE,"1,113",9.66,https://zerodha.com/markets/stocks/NSE/KUANTUM/
PAKKA,Pakka,Agriculture,BSE,923,21.78,https://zerodha.com/markets/stocks/BSE/PAKKA/
SATIA,Satia Industries,Agriculture,BSE,918,7.74,https://zerodha.com/markets/stocks/BSE/SATIA/
EMAMIPAP,Emami Paper Mills,Agriculture,BSE,654,25.13,https://zerodha.com/markets/stocks/BSE/EMAMIPAP/
ORIENTPPR,Orient Paper & Inds.,Agriculture,NSE,625,--,https://zerodha.com/markets/stocks/NSE/ORIENTPPR/
NRAIL,NR Agarwal Inds,Agriculture,BSE,619,35.08,https://zerodha.com/markets/stocks/BSE/NRAIL/
MGEL,Mangalam Global Ent,Agriculture,NSE,525,22.74,https://zerodha.com/markets/stocks/NSE/MGEL/
GENUSPAPER,Genus Paper & Boards,Agriculture,NSE,511,174.37,https://zerodha.com/markets/stocks/NSE/GENUSPAPER/
RAMANEWS,Shree Rama News,Agriculture,NSE,472,--,https://zerodha.com/markets/stocks/NSE/RAMANEWS/
NATHBIOGEN,Nath Bio-Genes,Agriculture,NSE,437,11.32,https://zerodha.com/markets/stocks/NSE/NATHBIOGEN/
RUCHIRA,Ruchira Papers,Agriculture,BSE,425,6.32,https://zerodha.com/markets/stocks/BSE/RUCHIRA/
HPCBL,HPC Biosciences,Agriculture,BSE,410,--,https://zerodha.com/markets/stocks/BSE/HPCBL/
FRESHARA,Freshara Agro Export,Agriculture,NSE,409,14.2,https://zerodha.com/markets/stocks/NSE/FRESHARA/
HARRMALAYA,Harrisons Malayalam,Agriculture,NSE,388,26.06,https://zerodha.com/markets/stocks/NSE/HARRMALAYA/
BBTCL,B&B Triplewall,Agriculture,NSE,330,--,https://zerodha.com/markets/stocks/NSE/BBTCL/
SHREYANIND,Shreyans Inds,Agriculture,NSE,324,6.39,https://zerodha.com/markets/stocks/NSE/SHREYANIND/
INDOUS,Indo US Bio-Tech,Agriculture,BSE,305,18.74,https://zerodha.com/markets/stocks/BSE/INDOUS/
TIERRA,Tierra Agrotech,Agriculture,BSE,298,--,https://zerodha.com/markets/stocks/BSE/TIERRA/
STARPAPER,Star Paper Mills,Agriculture,NSE,283,6.89,https://zerodha.com/markets/stocks/NSE/STARPAPER/
KOTYARK,Kotyark Industries,Agriculture,NSE,277,19.33,https://zerodha.com/markets/stocks/NSE/KOTYARK/
DUROPLY,Duroply Industries,Agriculture,BSE,244,31.43,https://zerodha.com/markets/stocks/BSE/DUROPLY/
WORTH,Worth Peripherals,Agriculture,NSE,226,14.62,https://zerodha.com/markets/stocks/NSE/WORTH/
NIKITA,Nikita Papers,Agriculture,NSE,223,9.69,https://zerodha.com/markets/stocks/NSE/NIKITA/
ARCHIDPLY,Archidply Inds,Agriculture,NSE,210,--,https://zerodha.com/markets/stocks/NSE/ARCHIDPLY/
EFPL,Eco Friendly Food,Agriculture,BSE,203,--,https://zerodha.com/markets/stocks/BSE/EFPL/
SUBAM,Subam Papers,Agriculture,BSE,202,7.54,https://zerodha.com/markets/stocks/BSE/SUBAM/
NAPL,Naturite Agro Prod.,Agriculture,BSE,198,--,https://zerodha.com/markets/stocks/BSE/NAPL/
MSL,Mangalam Seeds,Agriculture,BSE,193,18.81,https://zerodha.com/markets/stocks/BSE/MSL/
JK%20AGRI,JK Agri Genetics,Agriculture,BSE,177,--,https://zerodha.com/markets/stocks/BSE/JK%20AGRI/
SAPPL,Shree Ajit Pulp,Agriculture,BSE,176,17.67,https://zerodha.com/markets/stocks/BSE/SAPPL/
SAIFL,Sameera Agro & Infra,Agriculture,NSE,174,12.28,https://zerodha.com/markets/stocks/NSE/SAIFL/
SYLVANPLY,Sylvan Plyboard (I),Agriculture,NSE,170,24.71,https://zerodha.com/markets/stocks/NSE/SYLVANPLY/
MAGNUM,Magnum Ventures,Agriculture,NSE,169,17.84,https://zerodha.com/markets/stocks/NSE/MAGNUM/
SIPAPER,South India Paper,Agriculture,BSE,163,--,https://zerodha.com/markets/stocks/BSE/SIPAPER/
RAJPUTANA,Rajputana Biodiesel,Agriculture,NSE,163,27.49,https://zerodha.com/markets/stocks/NSE/RAJPUTANA/
APIS,Apis India,Agriculture,BSE,162,8.04,https://zerodha.com/markets/stocks/BSE/APIS/
NATHIND,Nath Industries,Agriculture,BSE,158,16.27,https://zerodha.com/markets/stocks/BSE/NATHIND/
SHEETAL,Sheetal Universal,Agriculture,NSE,147,15.83,https://zerodha.com/markets/stocks/NSE/SHEETAL/
NIRMAN,Nirman Agri Genetics,Agriculture,NSE,147,5.83,https://zerodha.com/markets/stocks/NSE/NIRMAN/
SCOOBEEDAY,Scoobee Day Garments,Agriculture,BSE,143,74.92,https://zerodha.com/markets/stocks/BSE/SCOOBEEDAY/
HFIL,Himalaya Food,Agriculture,BSE,137,26.23,https://zerodha.com/markets/stocks/BSE/HFIL/
OSWALSEEDS,Shree Oswal Seeds,Agriculture,NSE,128,36.31,https://zerodha.com/markets/stocks/NSE/OSWALSEEDS/
PRITI,Priti International,Agriculture,NSE,124,26.04,https://zerodha.com/markets/stocks/NSE/PRITI/
BAPACK,B&A Packaging India,Agriculture,BSE,122,12.38,https://zerodha.com/markets/stocks/BSE/BAPACK/
USASEEDS,Upsurge Seeds Of Agr,Agriculture,NSE,113,13.3,https://zerodha.com/markets/stocks/NSE/USASEEDS/
SPTRSHI,Saptarishi Agro Inds,Agriculture,BSE,112,52.34,https://zerodha.com/markets/stocks/BSE/SPTRSHI/
SUNDARAM,Sundaram Multi Pap,Agriculture,NSE,107,--,https://zerodha.com/markets/stocks/NSE/SUNDARAM/
GANGAPA,Kasat Paper,Agriculture,BSE,101,64.96,https://zerodha.com/markets/stocks/BSE/GANGAPA/
THREEMPAPE,Three M Paper Boards,Agriculture,BSE,99,9.9,https://zerodha.com/markets/stocks/BSE/THREEMPAPE/
RAFL,Raghuvansh Agro,Agriculture,BSE,95,15.87,https://zerodha.com/markets/stocks/BSE/RAFL/
AGRITECH,Agri-Tech (India),Agriculture,BSE,92,--,https://zerodha.com/markets/stocks/BSE/AGRITECH/
TRESCON,Trescon,Agriculture,BSE,83,--,https://zerodha.com/markets/stocks/BSE/TRESCON/
DHANLAXMI,Dhanlaxmi Crop Scien,Agriculture,NSE,82,9.41,https://zerodha.com/markets/stocks/NSE/DHANLAXMI/
ALKOSIGN,Alkosign,Agriculture,BSE,79,20.96,https://zerodha.com/markets/stocks/BSE/ALKOSIGN/
PERFEPA,Perfectpac,Agriculture,BSE,79,24.92,https://zerodha.com/markets/stocks/BSE/PERFEPA/
ASTRON,Astron Paper & Board,Agriculture,NSE,76,--,https://zerodha.com/markets/stocks/NSE/ASTRON/
SIEL,Superior Industrial,Agriculture,BSE,73,9.51,https://zerodha.com/markets/stocks/BSE/SIEL/
INDRANIB,Indrayani Biotech,Agriculture,BSE,71,--,https://zerodha.com/markets/stocks/BSE/INDRANIB/
MALUPAPER,Malu Paper Mills,Agriculture,NSE,71,--,https://zerodha.com/markets/stocks/NSE/MALUPAPER/
WESTERNBIO,Ecoboard Inds,Agriculture,BSE,69,--,https://zerodha.com/markets/stocks/BSE/WESTERNBIO/
BALKRISHNA,Balkrishna Paper,Agriculture,NSE,69,--,https://zerodha.com/markets/stocks/NSE/BALKRISHNA/
NARMADA,Narmada Agrobase,Agriculture,NSE,68,16.71,https://zerodha.com/markets/stocks/NSE/NARMADA/
SKPMIL,Shree Krishna Papers,Agriculture,BSE,64,56.46,https://zerodha.com/markets/stocks/BSE/SKPMIL/
SIMRAN,Simran Farms,Agriculture,BSE,64,10.93,https://zerodha.com/markets/stocks/BSE/SIMRAN/
VISHWAS,Vishwas Agri Seeds,Agriculture,NSE,62,9.17,https://zerodha.com/markets/stocks/NSE/VISHWAS/
PRATIK,Pratik Panels,Agriculture,BSE,54,215.78,https://zerodha.com/markets/stocks/BSE/PRATIK/
SHREENATH,Shreenath Paper Prod,Agriculture,BSE,52,18.05,https://zerodha.com/markets/stocks/BSE/SHREENATH/
ADL,Archidply Decor,Agriculture,NSE,51,900.85,https://zerodha.com/markets/stocks/NSE/ADL/
RCDL,Rajgor Castor Deriv,Agriculture,NSE,50,5.54,https://zerodha.com/markets/stocks/NSE/RCDL/
TRANSCHEM,Transchem,Agriculture,BSE,49,9.47,https://zerodha.com/markets/stocks/BSE/TRANSCHEM/
VRWODAR,VR Woodart,Agriculture,BSE,47,--,https://zerodha.com/markets/stocks/BSE/VRWODAR/
SPINAROO,Spinaroo Commercial,Agriculture,BSE,47,32.59,https://zerodha.com/markets/stocks/BSE/SPINAROO/
MOHITPPR,Mohit Paper Mills,Agriculture,BSE,44,6.79,https://zerodha.com/markets/stocks/BSE/MOHITPPR/
ATENPAPERS,Aten Papers & Foam,Agriculture,BSE,41,14.67,https://zerodha.com/markets/stocks/BSE/ATENPAPERS/
LAMOSAIC,Lamosaic India,Agriculture,NSE,39,--,https://zerodha.com/markets/stocks/NSE/LAMOSAIC/
CONTI,Continental Seeds,Agriculture,NSE,39,21.55,https://zerodha.com/markets/stocks/NSE/CONTI/
KAYPOWR,Kay Power and Paper,Agriculture,BSE,34,30.11,https://zerodha.com/markets/stocks/BSE/KAYPOWR/
SHREEGANES,Shree Ganesh BioTech,Agriculture,BSE,34,122.32,https://zerodha.com/markets/stocks/BSE/SHREEGANES/
BJDUP,BJ Duplex,Agriculture,BSE,32,--,https://zerodha.com/markets/stocks/BSE/BJDUP/
CELLA,Cella Space,Agriculture,BSE,30,0.58,https://zerodha.com/markets/stocks/BSE/CELLA/
VAPIENTER,Vapi Enterprise,Agriculture,BSE,29,22.02,https://zerodha.com/markets/stocks/BSE/VAPIENTER/
HINDUST,Hind Agrigenetics,Agriculture,BSE,29,--,https://zerodha.com/markets/stocks/BSE/HINDUST/
VPL,Vrundavan Plantation,Agriculture,BSE,27,15.19,https://zerodha.com/markets/stocks/BSE/VPL/
TGIF,TGIF Agribusiness,Agriculture,BSE,26,15.04,https://zerodha.com/markets/stocks/BSE/TGIF/
SANPA,Sangal Papers,Agriculture,BSE,25,8.81,https://zerodha.com/markets/stocks/BSE/SANPA/
GAJANAND,Gajanand Internat.,Agriculture,NSE,24,67.91,https://zerodha.com/markets/stocks/NSE/GAJANAND/
SHKARTP,Shree Karthik Papers,Agriculture,BSE,18,91.17,https://zerodha.com/markets/stocks/BSE/SHKARTP/
ASIAN,Asian Warehousing,Agriculture,BSE,16,267.75,https://zerodha.com/markets/stocks/BSE/ASIAN/
TARAI,Tarai Foods,Agriculture,BSE,15,--,https://zerodha.com/markets/stocks/BSE/TARAI/
GVBL,Genomic Valley,Agriculture,BSE,15,43.58,https://zerodha.com/markets/stocks/BSE/GVBL/
NATPLY,Natl.Plyw,Agriculture,BSE,13,--,https://zerodha.com/markets/stocks/BSE/NATPLY/
RAMAPPR-B,Rama Paper Mills,Agriculture,BSE,13,--,https://zerodha.com/markets/stocks/BSE/RAMAPPR-B/
SAFFRON,Saffron Industries,Agriculture,BSE,12,4.29,https://zerodha.com/markets/stocks/BSE/SAFFRON/
TIMESGREEN,Times Green Energy,Agriculture,BSE,12,26.38,https://zerodha.com/markets/stocks/BSE/TIMESGREEN/
OMEAG,Omega Ag-Seeds,Agriculture,BSE,11,30.81,https://zerodha.com/markets/stocks/BSE/OMEAG/
BLOOM,Bloom Dekor,Agriculture,BSE,9,--,https://zerodha.com/markets/stocks/BSE/BLOOM/
AGIOPAPER,Agio Paper & Inds,Agriculture,BSE,9,--,https://zerodha.com/markets/stocks/BSE/AGIOPAPER/
SOMAPPR,Soma Papers,Agriculture,BSE,9,--,https://zerodha.com/markets/stocks/BSE/SOMAPPR/
SCAGRO,SC Agrotech,Agriculture,BSE,9,49.55,https://zerodha.com/markets/stocks/BSE/SCAGRO/
SMADL,Shri Mahalaxmi Agri,Agriculture,NSE,7,31.32,https://zerodha.com/markets/stocks/NSE/SMADL/
GRATEXI,Gratex Industries,Agriculture,BSE,5,76.77,https://zerodha.com/markets/stocks/BSE/GRATEXI/
CORNE,Coral Newsprints,Agriculture,BSE,5,--,https://zerodha.com/markets/stocks/BSE/CORNE/
BEEYU,Beeyu Overseas,Agriculture,BSE,5,--,https://zerodha.com/markets/stocks/BSE/BEEYU/
HITECHWIND,Gujarat Winding Sys.,Agriculture,BSE,4,65,https://zerodha.com/markets/stocks/BSE/HITECHWIND/
ASHUTPM,Tridev InfraEstates,Agriculture,BSE,4,--,https://zerodha.com/markets/stocks/BSE/ASHUTPM/
NATHUEC,Natura Hue Chem,Agriculture,BSE,4,--,https://zerodha.com/markets/stocks/BSE/NATHUEC/
JAYATMA,Jayatma Spinners,Agriculture,BSE,4,17.69,https://zerodha.com/markets/stocks/BSE/JAYATMA/
THAKKERS,Asin Food Prod,Agriculture,BSE,3,0.43,https://zerodha.com/markets/stocks/BSE/THAKKERS/
RJBIOTECH,RJ Bio-Tech,Agriculture,BSE,3,--,https://zerodha.com/markets/stocks/BSE/RJBIOTECH/
KANELOIL,Kanel Industries,Agriculture,BSE,0,--,https://zerodha.com/markets/stocks/BSE/KANELOIL/
M&M,Mahindra & Mahindra,Auto ancillary,NSE,"3,92,650",30.37,https://zerodha.com/markets/stocks/NSE/M&M/
MARUTI,Maruti Suzuki,Auto ancillary,NSE,"3,90,483",26.93,https://zerodha.com/markets/stocks/NSE/MARUTI/
TATAMOTORS,Tata Motors,Auto ancillary,NSE,"2,55,235",9.17,https://zerodha.com/markets/stocks/NSE/TATAMOTORS/
BAJAJ-AUTO,Bajaj Auto,Auto ancillary,NSE,"2,33,027",31.81,https://zerodha.com/markets/stocks/NSE/BAJAJ-AUTO/
HYUNDAI,Hyundai Motor India,Auto ancillary,NSE,"1,67,002",29.61,https://zerodha.com/markets/stocks/NSE/HYUNDAI/
EICHERMOT,Eicher Motors,Auto ancillary,NSE,"1,55,596",32.86,https://zerodha.com/markets/stocks/NSE/EICHERMOT/
TVSMOTOR,TVS Motor,Auto ancillary,NSE,"1,34,549",60.19,https://zerodha.com/markets/stocks/NSE/TVSMOTOR/
MOTHERSON,SamvardhanaMotherson,Auto ancillary,BSE,"1,08,394",28.5,https://zerodha.com/markets/stocks/BSE/MOTHERSON/
BOSCHLTD,Bosch,Auto ancillary,NSE,"1,04,720",52.01,https://zerodha.com/markets/stocks/NSE/BOSCHLTD/
HEROMOTOCO,Hero MotoCorp,Auto ancillary,NSE,"85,950",19.63,https://zerodha.com/markets/stocks/NSE/HEROMOTOCO/
ASHOKLEY,Ashok Leyland,Auto ancillary,NSE,"73,384",23.62,https://zerodha.com/markets/stocks/NSE/ASHOKLEY/
UNOMINDA,UNO Minda,Auto ancillary,BSE,"63,378",67.21,https://zerodha.com/markets/stocks/BSE/UNOMINDA/
MRF,MRF,Auto ancillary,NSE,"61,464",32.88,https://zerodha.com/markets/stocks/NSE/MRF/
BALKRISIND,Balkrishna Inds.,Auto ancillary,NSE,"50,687",30.63,https://zerodha.com/markets/stocks/NSE/BALKRISIND/
ESCORTS,Escorts Kubota,Auto ancillary,NSE,"37,924",29.98,https://zerodha.com/markets/stocks/NSE/ESCORTS/
ENDURANCE,Endurance Tech,Auto ancillary,NSE,"36,878",44.09,https://zerodha.com/markets/stocks/NSE/ENDURANCE/
EXIDEIND,Exide Inds,Auto ancillary,NSE,"33,018",41.53,https://zerodha.com/markets/stocks/NSE/EXIDEIND/
APOLLOTYRE,Apollo Tyres,Auto ancillary,NSE,"29,958",26.72,https://zerodha.com/markets/stocks/NSE/APOLLOTYRE/
SONACOMS,Sona BLW Precision,Auto ancillary,NSE,"28,686",47.71,https://zerodha.com/markets/stocks/NSE/SONACOMS/
ZFCVINDIA,ZF Comm Vehic Contr,Auto ancillary,NSE,"25,044",54.36,https://zerodha.com/markets/stocks/NSE/ZFCVINDIA/
TVSHLTD,TVS Holdings,Auto ancillary,NSE,"22,284",19.14,https://zerodha.com/markets/stocks/NSE/TVSHLTD/
FORCEMOT,Force Motors,Auto ancillary,BSE,"20,074",25.07,https://zerodha.com/markets/stocks/BSE/FORCEMOT/
OLAELEC,OLA Electric Mobilit,Auto ancillary,NSE,"17,983",--,https://zerodha.com/markets/stocks/NSE/OLAELEC/
ARE&M,Amara Raja Energy,Auto ancillary,NSE,"17,660",18.69,https://zerodha.com/markets/stocks/NSE/ARE&M/
HBLENGINE,HBL Engineering,Auto ancillary,NSE,"17,409",62.87,https://zerodha.com/markets/stocks/NSE/HBLENGINE/
MAHSCOOTER,Maharashtra Scooters,Auto ancillary,NSE,"16,295",76.02,https://zerodha.com/markets/stocks/NSE/MAHSCOOTER/
CEATLTD,CEAT,Auto ancillary,NSE,"15,424",32.63,https://zerodha.com/markets/stocks/NSE/CEATLTD/
JBMA,JBM Auto,Auto ancillary,BSE,"15,033",74.45,https://zerodha.com/markets/stocks/BSE/JBMA/
GABRIEL,Gabriel India,Auto ancillary,NSE,"14,240",58.13,https://zerodha.com/markets/stocks/NSE/GABRIEL/
CRAFTSMAN,Craftsman Automation,Auto ancillary,NSE,"13,929",71.59,https://zerodha.com/markets/stocks/NSE/CRAFTSMAN/
MINDACORP,Minda Corporation,Auto ancillary,NSE,"12,399",48.55,https://zerodha.com/markets/stocks/NSE/MINDACORP/
ATHERENERG,Ather Energy,Auto ancillary,NSE,"12,274",--,https://zerodha.com/markets/stocks/NSE/ATHERENERG/
JKTYRE,JK Tyres & Inds.,Auto ancillary,NSE,"10,168",20.54,https://zerodha.com/markets/stocks/NSE/JKTYRE/
ASKAUTOLTD,ASK Automotive,Auto ancillary,NSE,"10,153",41,https://zerodha.com/markets/stocks/NSE/ASKAUTOLTD/
BELRISE,Belrise Industri,Auto ancillary,NSE,"10,016",28.18,https://zerodha.com/markets/stocks/NSE/BELRISE/
OLECTRA,Olectra Greentech,Auto ancillary,NSE,"9,967",71.76,https://zerodha.com/markets/stocks/NSE/OLECTRA/
BANCOINDIA,Banco Products (I),Auto ancillary,NSE,"9,145",23.34,https://zerodha.com/markets/stocks/NSE/BANCOINDIA/
SANSERA,Sansera Engineering,Auto ancillary,NSE,"8,675",40.32,https://zerodha.com/markets/stocks/NSE/SANSERA/
CARTRADE,CarTrade Tech,Auto ancillary,NSE,"8,651",64.25,https://zerodha.com/markets/stocks/NSE/CARTRADE/
VARROC,Varroc Engineering,Auto ancillary,NSE,"8,522",139.17,https://zerodha.com/markets/stocks/NSE/VARROC/
LUMAXTECH,Lumax Auto Tech,Auto ancillary,NSE,"7,613",42.82,https://zerodha.com/markets/stocks/NSE/LUMAXTECH/
SHARDAMOTR,Sharda Motor Inds.,Auto ancillary,BSE,"6,481",20.58,https://zerodha.com/markets/stocks/BSE/SHARDAMOTR/
SUPRAJIT,Suprajit Engineering,Auto ancillary,NSE,"6,362",64.09,https://zerodha.com/markets/stocks/NSE/SUPRAJIT/
SUBROS,Subros,Auto ancillary,NSE,"6,085",40.43,https://zerodha.com/markets/stocks/NSE/SUBROS/
PRICOLLTD,Pricol,Auto ancillary,NSE,"5,576",33.38,https://zerodha.com/markets/stocks/NSE/PRICOLLTD/
FIEMIND,Fiem Inds,Auto ancillary,NSE,"5,070",24.74,https://zerodha.com/markets/stocks/NSE/FIEMIND/
SUNCLAY,Sundaram-Clayton,Auto ancillary,NSE,"4,523",--,https://zerodha.com/markets/stocks/NSE/SUNCLAY/
SMLISUZU,SML Isuzu,Auto ancillary,NSE,"4,124",33.89,https://zerodha.com/markets/stocks/NSE/SMLISUZU/
LGBBROSLTD,LG Balakrishnan&Bros,Auto ancillary,NSE,"4,124",13.65,https://zerodha.com/markets/stocks/NSE/LGBBROSLTD/
SJS,SJS Enterprises,Auto ancillary,NSE,"3,956",33.58,https://zerodha.com/markets/stocks/NSE/SJS/
SHANTIGEAR,Shanthi Gears,Auto ancillary,NSE,"3,791",39.48,https://zerodha.com/markets/stocks/NSE/SHANTIGEAR/
SSWL,Steel Strips Wheels,Auto ancillary,BSE,"3,779",19.35,https://zerodha.com/markets/stocks/BSE/SSWL/
JAMNAAUTO,Jamna Auto Inds.,Auto ancillary,BSE,"3,725",20.66,https://zerodha.com/markets/stocks/BSE/JAMNAAUTO/
VSTTILLERS,VST Tillers Tractors,Auto ancillary,BSE,"3,677",39.55,https://zerodha.com/markets/stocks/BSE/VSTTILLERS/
JTEKTINDIA,JTEKT India,Auto ancillary,NSE,"3,598",47.81,https://zerodha.com/markets/stocks/NSE/JTEKTINDIA/
LUMAXIND,Lumax Industries,Auto ancillary,NSE,"3,388",24.22,https://zerodha.com/markets/stocks/NSE/LUMAXIND/
SANDHAR,Sandhar Tech,Auto ancillary,NSE,"3,137",22.15,https://zerodha.com/markets/stocks/NSE/SANDHAR/
FMGOETZE,Federal-Mogul Goetze,Auto ancillary,NSE,"3,120",19.25,https://zerodha.com/markets/stocks/NSE/FMGOETZE/
AUTOAXLES,Auto.Axle,Auto ancillary,NSE,"2,694",17.32,https://zerodha.com/markets/stocks/NSE/AUTOAXLES/
CARRARO,Carraro India,Auto ancillary,NSE,"2,583",29.31,https://zerodha.com/markets/stocks/NSE/CARRARO/
NDRAUTO,NDR Auto Components,Auto ancillary,NSE,"2,497",46.88,https://zerodha.com/markets/stocks/NSE/NDRAUTO/
RML,Rane Madras,Auto ancillary,NSE,"2,454",65.18,https://zerodha.com/markets/stocks/NSE/RML/
TVSSRICHAK,TVS Srichakra,Auto ancillary,NSE,"2,434",118.1,https://zerodha.com/markets/stocks/NSE/TVSSRICHAK/
EVEREADY,Eveready Inds. India,Auto ancillary,NSE,"2,411",29.24,https://zerodha.com/markets/stocks/NSE/EVEREADY/
GOODYEAR,Goodyear India,Auto ancillary,BSE,"2,283",41.42,https://zerodha.com/markets/stocks/BSE/GOODYEAR/
LANDMARK,Landmark Cars,Auto ancillary,NSE,"2,106",132.2,https://zerodha.com/markets/stocks/NSE/LANDMARK/
RAJRATAN,Rajratan Global Wire,Auto ancillary,BSE,"2,093",35.59,https://zerodha.com/markets/stocks/BSE/RAJRATAN/
PRECAM,Precision Camshafts,Auto ancillary,NSE,"2,000",36.97,https://zerodha.com/markets/stocks/NSE/PRECAM/
WHEELS,Wheels India,Auto ancillary,NSE,"1,961",17.68,https://zerodha.com/markets/stocks/NSE/WHEELS/
TALBROAUTO,Talbros Auto Compont,Auto ancillary,NSE,"1,811",19.18,https://zerodha.com/markets/stocks/NSE/TALBROAUTO/
INDNIPPON,India Nipon Electric,Auto ancillary,NSE,"1,721",20.92,https://zerodha.com/markets/stocks/NSE/INDNIPPON/
GNA,GNA  Axles,Auto ancillary,NSE,"1,379",12.88,https://zerodha.com/markets/stocks/NSE/GNA/
HITECHGEAR,Hi-Tech Gears,Auto ancillary,NSE,"1,370",33.94,https://zerodha.com/markets/stocks/NSE/HITECHGEAR/
ATULAUTO,Atul Auto,Auto ancillary,BSE,"1,251",57.84,https://zerodha.com/markets/stocks/BSE/ATULAUTO/
KROSS,Kross,Auto ancillary,NSE,"1,242",25.86,https://zerodha.com/markets/stocks/NSE/KROSS/
RACLGEAR,RACL Geartech,Auto ancillary,BSE,"1,117",47.04,https://zerodha.com/markets/stocks/BSE/RACLGEAR/
ISTLTD,IST,Auto ancillary,BSE,"1,098",7.85,https://zerodha.com/markets/stocks/BSE/ISTLTD/
ZFSTEERING,ZF Steering Gear (I),Auto ancillary,BSE,"1,075",72.02,https://zerodha.com/markets/stocks/BSE/ZFSTEERING/
AUTOCORP,Automobile Corp.Goa,Auto ancillary,BSE,"1,050",22.54,https://zerodha.com/markets/stocks/BSE/AUTOCORP/
SAINTGOBAIN,Saint-Gobain Sekurit,Auto ancillary,BSE,"1,038",28.84,https://zerodha.com/markets/stocks/BSE/SAINTGOBAIN/
MERCURYEV,Mercury Metals,Auto ancillary,BSE,"1,036",138.47,https://zerodha.com/markets/stocks/BSE/MERCURYEV/
RICOAUTO,Rico Auto Inds,Auto ancillary,NSE,"1,016",47.46,https://zerodha.com/markets/stocks/NSE/RICOAUTO/
ENKEIWHEL,Enkei Wheels,Auto ancillary,BSE,935,--,https://zerodha.com/markets/stocks/BSE/ENKEIWHEL/
ASAL,Automot. Stamp&Assem,Auto ancillary,NSE,925,55.12,https://zerodha.com/markets/stocks/NSE/ASAL/
PVSL,Popular Vehicles,Auto ancillary,NSE,923,--,https://zerodha.com/markets/stocks/NSE/PVSL/
ERAAYA,Eraaya Lifespaces,Auto ancillary,BSE,832,--,https://zerodha.com/markets/stocks/BSE/ERAAYA/
JAYBARMARU,Jay Bharat Maruti,Auto ancillary,BSE,827,25.12,https://zerodha.com/markets/stocks/BSE/JAYBARMARU/
MUNJALAU,Munjal Auto Inds,Auto ancillary,NSE,766,21.04,https://zerodha.com/markets/stocks/NSE/MUNJALAU/
SAPL,Sar Auto Products,Auto ancillary,BSE,731,--,https://zerodha.com/markets/stocks/BSE/SAPL/
HINDCOMPOS,Hindustan Composites,Auto ancillary,NSE,713,20.36,https://zerodha.com/markets/stocks/NSE/HINDCOMPOS/
HIGHENE,High Energy Batterie,Auto ancillary,BSE,697,45.49,https://zerodha.com/markets/stocks/BSE/HIGHENE/
BHARATSE,Bharat Seats,Auto ancillary,BSE,663,20.27,https://zerodha.com/markets/stocks/BSE/BHARATSE/
TOLINS,Tolins Tyres,Auto ancillary,NSE,650,16.81,https://zerodha.com/markets/stocks/NSE/TOLINS/
CLN,CLN Energy,Auto ancillary,BSE,641,49.57,https://zerodha.com/markets/stocks/BSE/CLN/
KINETICENG,Kinetic Engg,Auto ancillary,BSE,605,94.25,https://zerodha.com/markets/stocks/BSE/KINETICENG/
HINDMOTORS,Hindustan Motors,Auto ancillary,NSE,587,37.67,https://zerodha.com/markets/stocks/NSE/HINDMOTORS/
